customer_id,join_date,first_txn_date,region,product_type,risk_segment,monthly_txn_cnt,monthly_spend_sgd,days_past_due,fraud_flag,acquisition_channel,credit_limit_sgd,utilization_rate,delinquency_bucket
C001,12/1/2023,15/1/2023,SG,CreditCard,Low,18,1250.5,0,0,Branch,8000,0.42,Current
C002,1/2/2023,4/2/2023,SG,CreditCard,Med,9,845,5,0,Online,5000,0.36,1-29
C003,1/3/2023,5/3/2023,KL,PersLoan,High,3,2100,65,0,Branch,15000,0.88,60-89
C004,18/3/2023,NA,KL,CreditCard,Low,0,0,0,0,Online,6000,0,Current
C005,21/3/2023,21/3/2023,SG,PersLoan,Med,5,950.75,32,0,Partner,20000,0.51,30-59
C006,2/4/2023,3/4/2023,JKT,CreditCard,Low,24,1800,0,0,Branch,12000,0.3,Current
C007,2/4/2023,6/4/2023,JKT,CreditCard,Med,16,1325.4,0,1,Online,9000,0.67,Current
C008,10/4/2023,11/4/2023,BKK,PersLoan,High,2,500,95,0,Branch,18000,0.92,90+
C009,15/4/2023,15/4/2023,BKK,CreditCard,Med,12,760.9,0,0,Online,7000,0.44,Current
C010,21/4/2023,23/4/2023,SG,CreditCard,Low,4,320,0,0,Partner,4000,0.21,Current
C011,1/5/2023,2/5/2023,MNL,PersLoan,High,1,300,120,0,Branch,25000,0.97,90+
C012,1/5/2023,4/5/2023,MNL,CreditCard,Med,7,540.1,12,0,Online,6000,0.39,1-29
C013,9/5/2023,9/5/2023,SG,CreditCard,Low,20,2100,0,0,Branch,15000,0.28,Current
C014,15/5/2023,16/5/2023,SG,PersLoan,High,3,620,72,0,Partner,22000,0.76,60-89
C015,15/5/2023,18/5/2023,JKT,CreditCard,Med,11,980.25,0,1,Online,9000,0.61,Current
C016,20/5/2023,20/5/2023,KL,CreditCard,Low,6,410,0,0,Branch,5000,0.33,Current
C017,22/5/2023,24/5/2023,BKK,PersLoan,High,2,450,40,0,Online,16000,0.84,30-59
C018,25/5/2023,25/5/2023,SG,CreditCard,Med,8,700,6,0,Partner,8000,0.47,1-29
C019,26/5/2023,27/5/2023,JKT,CreditCard,Low,14,1100,0,0,Branch,10000,0.37,Current
C020,30/5/2023,30/5/2023,MNL,PersLoan,High,1,200,105,0,Online,24000,0.9,90+
C021,1/6/2023,1/6/2023,SG,CreditCard,Med,10,860,0,0,Partner,9000,0.49,Current
C022,2/6/2023,3/6/2023,SG,CreditCard,Low,5,380,0,0,Branch,5000,0.29,Current
C023,4/6/2023,4/6/2023,JKT,PersLoan,High,2,550,63,0,Online,17000,0.79,60-89
C024,6/6/2023,6/6/2023,KL,CreditCard,Med,9,730,0,0,Partner,7000,0.41,Current
C025,7/6/2023,8/6/2023,BKK,CreditCard,Low,13,990,0,1,Online,9000,0.55,Current
C026,9/6/2023,9/6/2023,MNL,PersLoan,High,3,620,88,0,Branch,21000,0.81,60-89
C027,10/6/2023,10/6/2023,SG,CreditCard,Med,7,640,0,0,Partner,6000,0.46,Current
C028,11/6/2023,12/6/2023,SG,CreditCard,Low,4,300,0,0,Online,4000,0.26,Current
C029,13/6/2023,13/6/2023,JKT,PersLoan,High,2,510,52,0,Branch,19000,0.78,30-59
C030,14/6/2023,15/6/2023,KL,CreditCard,Med,9,760,3,0,Online,7000,0.43,1-29
C031,16/6/2023,16/6/2023,BKK,CreditCard,Low,15,1120,0,0,Branch,10000,0.39,Current
C032,17/6/2023,18/6/2023,MNL,PersLoan,High,1,280,98,0,Online,23000,0.93,90+
C033,19/6/2023,19/6/2023,SG,CreditCard,Med,6,520,0,0,Partner,6000,0.34,Current
C034,20/6/2023,20/6/2023,SG,CreditCard,Low,3,260,0,0,Branch,3000,0.31,Current
C035,21/6/2023,22/6/2023,JKT,PersLoan,High,2,480,47,0,Online,18000,0.82,30-59
C036,23/6/2023,23/6/2023,KL,CreditCard,Med,8,710,0,1,Online,8000,0.52,Current
C037,24/6/2023,25/6/2023,BKK,CreditCard,Low,12,930,0,0,Branch,9000,0.48,Current
C038,26/6/2023,26/6/2023,MNL,PersLoan,High,1,260,110,0,Partner,24000,0.96,90+
C039,27/6/2023,28/6/2023,SG,CreditCard,Med,5,430,8,0,Online,5000,0.38,1-29
C040,29/6/2023,29/6/2023,SG,CreditCard,Low,4,310,0,0,Branch,4000,0.27,Current
C041,1/7/2023,1/7/2023,JKT,PersLoan,High,2,540,69,0,Online,20000,0.8,60-89
C042,2/7/2023,3/7/2023,KL,CreditCard,Med,10,840,0,0,Partner,9000,0.45,Current
C043,4/7/2023,4/7/2023,BKK,CreditCard,Low,11,880,0,1,Online,8000,0.51,Current
C044,5/7/2023,6/7/2023,MNL,PersLoan,High,1,300,102,0,Branch,23000,0.95,90+
C045,7/7/2023,7/7/2023,SG,CreditCard,Med,7,560,0,0,Partner,6000,0.4,Current
C046,8/7/2023,9/7/2023,SG,CreditCard,Low,3,230,0,0,Branch,3000,0.28,Current
C047,10/7/2023,10/7/2023,JKT,PersLoan,High,2,520,55,0,Online,19000,0.83,30-59
C048,11/7/2023,12/7/2023,KL,CreditCard,Med,9,770,0,0,Online,8000,0.5,Current
C049,13/7/2023,13/7/2023,BKK,CreditCard,Low,13,1010,0,0,Branch,9000,0.53,Current
C050,14/7/2023,15/7/2023,MNL,PersLoan,High,1,290,99,0,Partner,25000,0.94,90+
C051,16/7/2023,16/7/2023,SG,CreditCard,Med,6,540,0,0,Online,5000,0.42,Current
C052,17/7/2023,18/7/2023,SG,CreditCard,Low,4,320,0,0,Branch,4000,0.3,Current
C053,19/7/2023,19/7/2023,JKT,PersLoan,High,2,510,58,0,Online,20000,0.82,30-59
C054,20/7/2023,21/7/2023,KL,CreditCard,Med,9,740,2,0,Partner,7000,0.44,1-29
C055,22/7/2023,22/7/2023,BKK,CreditCard,Low,12,960,0,1,Online,9000,0.56,Current
C056,23/7/2023,24/7/2023,MNL,PersLoan,High,1,270,108,0,Branch,24000,0.96,90+
C057,25/7/2023,25/7/2023,SG,CreditCard,Med,5,430,0,0,Partner,5000,0.39,Current
C058,26/7/2023,27/7/2023,SG,CreditCard,Low,3,250,0,0,Branch,3000,0.27,Current
C059,28/7/2023,28/7/2023,JKT,PersLoan,High,2,530,61,0,Online,18000,0.84,60-89
C060,29/7/2023,30/7/2023,KL,CreditCard,Med,8,720,0,0,Online,8000,0.49,Current
C061,1/8/2023,1/8/2023,BKK,CreditCard,Low,11,900,0,0,Branch,9000,0.52,Current
C062,2/8/2023,3/8/2023,MNL,PersLoan,High,1,260,112,0,Partner,25000,0.97,90+
C063,4/8/2023,4/8/2023,SG,CreditCard,Med,6,520,0,0,Online,5000,0.41,Current
C064,5/8/2023,6/8/2023,SG,CreditCard,Low,4,310,0,0,Branch,4000,0.29,Current
C065,7/8/2023,7/8/2023,JKT,PersLoan,High,2,540,54,0,Online,19000,0.83,30-59
C066,8/8/2023,9/8/2023,KL,CreditCard,Med,9,750,4,0,Partner,7000,0.47,1-29
C067,10/8/2023,10/8/2023,BKK,CreditCard,Low,13,990,0,1,Online,9000,0.55,Current
C068,11/8/2023,12/8/2023,MNL,PersLoan,High,1,280,106,0,Branch,23000,0.95,90+
C069,13/8/2023,13/8/2023,SG,CreditCard,Med,5,440,0,0,Partner,5000,0.4,Current
C070,14/8/2023,15/8/2023,SG,CreditCard,Low,3,260,0,0,Branch,3000,0.28,Current
C071,16/8/2023,16/8/2023,JKT,PersLoan,High,2,520,59,0,Online,20000,0.81,30-59
C072,17/8/2023,18/8/2023,KL,CreditCard,Med,8,730,0,0,Online,8000,0.48,Current
C073,19/8/2023,19/8/2023,BKK,CreditCard,Low,12,910,0,0,Branch,9000,0.51,Current
C074,20/8/2023,21/8/2023,MNL,PersLoan,High,1,300,109,0,Partner,24000,0.96,90+
C075,22/8/2023,22/8/2023,SG,CreditCard,Med,6,550,0,0,Online,5000,0.43,Current
C076,23/8/2023,24/8/2023,SG,CreditCard,Low,4,320,0,0,Branch,4000,0.3,Current
C077,25/8/2023,25/8/2023,JKT,PersLoan,High,2,510,62,0,Online,19000,0.84,60-89
C078,26/8/2023,27/8/2023,KL,CreditCard,Med,9,760,1,0,Partner,7000,0.46,1-29
C079,28/8/2023,28/8/2023,BKK,CreditCard,Low,13,1000,0,1,Online,9000,0.57,Current
C080,29/8/2023,30/8/2023,MNL,PersLoan,High,1,290,111,0,Branch,25000,0.97,90+
